thread ID,blocked,cyclic,relabeledge+blocked,relabeledge+cyclic,relabelnode+block,relabelnode+cyclic
1,1301387,1250057,1241929,1235441,1128015,1222444
2,1397996,1274180,1346051,1259285,1170192,1229926
3,1405208,1286868,1431772,1260385,1172230,1266574
4,1436529,1290827,1453478,1280832,1184132,1266829
5,1480035,1322890,1527148,1282898,1381705,1282134
6,1626448,1340784,1540603,1283154,1412757,1286083
7,1702085,2400012,1551698,1289724,1435210,1292783
8,1714061,2418940,1570318,1326961,1442463,1368881
9,1737054,2421543,1645065,2389965,1472517,2423068
10,1789223,2457859,1669712,2408635,1477393,2429956
11,1837971,2462969,1689076,2449416,1502106,2431120
12,1850802,2463115,1729579,2476588,1534585,2435344
13,1867411,2476485,1779392,2505988,1541943,2453458
14,2210208,2483627,1783274,2510918,1589028,2467712
15,2217817,2492979,1809819,2515628,1647096,2487697
16,2286626,2521999,1820440,2519298,2693607,2493997
17,2444589,2531830,1828325,2520788,2705560,2505105
18,2523818,2545463,1856267,2525157,2765073,2508287
19,2633588,2550396,1973967,2543550,2845942,2513418
20,2715231,2550798,2045882,2545910,2864042,2529087
21,2833323,2559539,2068176,2549921,2934837,2540294
22,2853388,2560963,2106634,2550182,2942613,2541512
23,2861688,2567445,2176740,2553309,2959622,2560038
24,2895154,2580647,2231376,2555197,3033098,2577540
25,3022754,2589779,2303439,2562885,3148969,2625398
26,3086705,2618477,2325727,2569930,3170650,2648698
27,3242379,2645126,2490172,2571510,3311868,2650842
28,3269330,3704042,2503912,2582921,3368155,3660502
29,3606869,3764451,3320023,4914827,3811132,3866174
30,3638077,3785648,3909700,5008730,3872087,5017042
31,5182970,3835253,5427485,5037465,4058629,5033361
32,5994807,4910540,16508352,5078133,9088275,5050227