thread ID,blocked,cyclic,relabeledge+cyclic
1,4722238,4260021,4304986
2,4800056,4463953,4335937
3,5356602,4467792,4350762
4,5611550,4488298,4368159
5,5687979,4496742,4393211
6,5719158,4677954,4425814
7,5750882,8118077,4472242
8,5825245,8261985,4620556
9,5870652,8304147,8305055
10,6023489,8356267,8452952
11,7017651,8377735,8462653
12,7237098,8483550,8542335
13,7285234,8567399,8690766
14,7503064,8595672,8701500
15,8125223,8651093,8713498
16,8248069,8671730,8739098
17,8280230,8746218,8749393
18,8358245,8766937,8762805
19,8398761,8818543,8783095
20,8922270,8827535,8783122
21,9060370,8864161,8790851
22,9838307,8891526,8799567
23,10138237,9039523,8806494
24,10278871,9050097,8818751
25,10695680,9083568,8825542
26,10774675,9185954,8887745
27,11099815,9194603,8986568
28,11287232,12896260,9030197
29,11674427,13103266,17172709
30,12097484,13377152,17335845
31,16864191,13435479,17440912
32,20877302,16907050,17577167