thread ID,3BN,3CN,3BA,3CA,3BD,3CD
1,90196821,148618669,102333409,126024266,77118391,137786420
2,105075906,162322915,116521910,128208762,83395290,140517272
3,111191692,169279102,123464468,129890846,84206778,145342516
4,113587849,174245199,128242229,130100714,85202276,152595979
5,119626943,226083057,140484742,131964407,85530010,153339408
6,124419382,232737838,140898442,132370239,86206640,162802696
7,124876857,234133102,141817887,136743988,87005399,174784364
8,126571558,235234649,142103271,140307612,87016589,257214403
9,127166222,239194607,145839821,145313128,87067954,257679161
10,130908911,244348028,151386174,153804135,87424350,258710780
11,131082946,247412148,152328537,253294441,88954918,259039360
12,131986482,251088603,154745210,255641646,89095204,261139337
13,137178155,256158850,158455175,258978268,89440773,262263124
14,137211837,258106331,171904824,259245182,91832746,262849105
15,142815896,258749539,172917917,260778926,94862734,263009483
16,143675179,259523306,174248393,261283812,96989237,263043822
17,143736945,260020038,209221386,262158781,100212408,264762070
18,143802683,263416815,217508355,264008863,101129332,267578691
19,149322341,264299266,219205036,266717315,103091000,267737575
20,152479420,265385432,224542117,268460228,103821860,268940466
21,163077571,268682002,230555112,268794101,104479972,272316580
22,164377662,273952203,269902349,272005955,105279170,272859277
23,165486187,275049482,283105397,272430614,110535098,272903127
24,169091264,276994856,302686163,272655276,111169868,273547288
25,170294229,279926232,313284258,275945517,117136783,273780829
26,172956663,284104635,347387875,277011923,119100952,273881473
27,185704184,290512296,368201287,277667903,131745242,276365415
28,189544826,295815279,402422287,279408316,132648076,279972831
29,213634338,302139436,412499916,284155218,136145682,392442766
30,345540585,317915244,492367757,399565826,142320885,393204074
31,368529663,559249451,795583885,852847458,167260927,538912064
32,3767551298,588003885,1256536906,964918829,5475275951,661380739